Start Date,End Date,Overall rating,Total searches,Direct searches,Discovery searches,Total views,Search views,Maps views,Total actions,Website actions,Directions actions,Phone call actions
,,Overall rating of this listing as of the date the report was generated,Number of times customers found this listing by searching on Google Search or Maps,Number of times customers found this listing by searching for the business name or address on Google Search or Maps,"Number of times customers found this listing by searching for the category, product or service on Google Search or Maps",Number of times this listing has been viewed on Google Search or Maps,Number of times this listing has been viewed on Google Search,Number of times this listing has been viewed on Google Maps,Number of times customers have taken action on this listing on Google Search or Maps,Number of times customers have visited the website from this listing,Number of times customers have requested directions from this listing,Number of times customers have called the business from this listing
15/08/2021,28/08/2021,5,155,22,133,366,6,360,4,1,2,1
29/08/2021,11/09/2021,5,2216,715,1501,2676,339,2337,25,5,14,6
12/09/2021,25/09/2021,5,3222,461,2761,4037,303,3734,19,4,13,2
26/09/2021,09/10/2021,5,2886,404,2482,3538,220,3318,16,2,14,0
10/10/2021,23/10/2021,5,2738,364,2374,3911,242,3669,27,0,27,0
24/10/2021,06/11/2021,5,3444,791,2653,4763,335,4428,95,1,93,1
07/11/2021,20/11/2021,5,4932,765,4167,7119,456,6663,144,4,133,7
21/11/2021,04/12/2021,5,4708,987,3721,8778,433,8345,68,2,64,2
05/12/2021,18/12/2021,5,7092,1185,5907,11170,586,10584,154,7,143,4
19/12/2021,01/01/2022,5,5368,853,4515,8322,395,7927,63,5,55,3
02/01/2022,15/01/2022,5,4731,1060,3671,8247,381,7866,78,5,69,4
16/01/2022,29/01/2022,5,6053,1201,4852,9875,431,9444,81,4,74,3
30/01/2022,12/02/2022,5,7382,663,6719,9582,537,9045,96,6,80,10
13/02/2022,26/02/2022,5,6311,1192,5119,9873,457,9416,157,5,149,3
27/02/2022,12/03/2022,5,5571,2016,3555,8611,443,8168,163,3,156,4
13/03/2022,26/03/2022,5,3878,950,2928,5366,313,5053,64,4,60,0
27/03/2022,09/04/2022,5,3700,1108,2592,5504,405,5099,84,1,81,2
10/04/2022,23/04/2022,5,5016,846,4170,6668,467,6201,74,3,70,1
